// This file was decompiled using VCSCM.ini published by GTAMods.com on 2019-10-19
DEFINE OBJECTS 205
DEFINE OBJECT (noname)                
DEFINE OBJECT DTN_STADDOORA            // Object number -1
$681 = Object.Init(#COKE_VOODOO, 228.934, -1269.593, 20.228)

:PICKUPS_266
if 
  $682 == 1 // $ == int 
else_jump @PICKUPS_306 
$683 = Object.Init(#TROPHY1, 228.934, -1269.593, 20.228)

:PICKUPS_306
if 
  $PASSED_LAW1_THE_PARTY == 1 // $ == int 
else_jump @PICKUPS_346 
$684 = Object.Init(#SUTIBAG, 228.934, -1269.593, 20.228)

:PICKUPS_346
if 
  $685 == 1 // $ == int 
else_jump @PICKUPS_386 
$686 = Object.Init(#PORNPOSTERS, 228.934, -1269.593, 20.228)

:PICKUPS_386
$671 = 1 // $ = int 

:PICKUPS_393
jump @PICKUPS_460 

:PICKUPS_400
if 
  $671 == 1 // $ == int 
else_jump @PICKUPS_460 
Object.Destroy($673)
Object.Destroy($679)
Object.Destroy($680)
Object.Destroy($681)
Object.Destroy($683)
Object.Destroy($684)
Object.Destroy($686)
$671 = 0 // $ = int 

:PICKUPS_460
if 
  $477 == 1 // $ == int 
else_jump @PICKUPS_1023 
if 
  $687 == 0 // $ == int 
else_jump @PICKUPS_1016 
if 
  $688 == 0 // $ == int 
else_jump @PICKUPS_543 
$689 = Object.Init(#FRAME1, -378.394, -583.35, 27.078)
jump @PICKUPS_565 

:PICKUPS_543
$690 = Object.Init(#FRAME1DAMAGED, -378.374, -583.35, 27.078)

:PICKUPS_565
if 
  $209 == 1 // $ == int 
else_jump @PICKUPS_605 
$691 = Object.Init(#FLAME_TINS, -373.306, -593.374, 25.369)

:PICKUPS_605
if 
  $692 == 1 // $ == int 
else_jump @PICKUPS_681 
if 
  $693 == 1 // $ == int 
else_jump @PICKUPS_681 
if 
  $694 == 1 // $ == int 
else_jump @PICKUPS_681 
$695 = Object.Init(#TROPHIES, -408.907, -560.001, 20.23)

:PICKUPS_681
if 
  $696 == 1 // $ == int 
else_jump @PICKUPS_721 
$697 = Object.Init(#HELI_BOX, -401.955, -566.672, 19.234)

:PICKUPS_721
if 
  $698 == 1 // $ == int 
else_jump @PICKUPS_761 
$699 = Object.Init(#PIZZA_BOX1, -406.211, -559.996, 18.654)

:PICKUPS_761
if 
  $685 == 1 // $ == int 
else_jump @PICKUPS_889 
$700 = Object.Init(#PIZZA_MESS, -383.088, -556.169, 18.95)
$701 = Object.Init(#PIZZA_MESS2, -385.024, -570.197, 21.58)
$702 = Object.Init(#MAN_RUBBISH03, -379.201, -568.813, 20.695)
$703 = Object.Init(#GASH_BAGS1, -408.239, -563.1, 19.054)
$704 = Object.Init(#GASHBAGS2, -383.019, -596.235, 25.037)

:PICKUPS_889
if 
  $705 == 1 // $ == int 
else_jump @PICKUPS_929 
$706 = Object.Init(#POLOROIDS, -374.306, -593.35, 26.475)

:PICKUPS_929
if 
  $529 == 1 // $ == int 
else_jump @PICKUPS_969 
$707 = Object.Init(#GUN_DOCS, -381.008, -594.382, 25.389)

:PICKUPS_969
if 
  $708 == 1 // $ == int 
else_jump @PICKUPS_1009 
$709 = Object.Init(#SHOVEL, -375.566, -555.54, 19.15)

:PICKUPS_1009
$687 = 1 // $ = int 

:PICKUPS_1016
jump @PICKUPS_1118 

:PICKUPS_1023
if 
  $687 == 1 // $ == int 
else_jump @PICKUPS_1118 
Object.Destroy($691)
Object.Destroy($695)
Object.Destroy($697)
Object.Destroy($702)
Object.Destroy($709)
Object.Destroy($707)
Object.Destroy($703)
Object.Destroy($704)
Object.Destroy($700)
Object.Destroy($701)
Object.Destroy($699)
Object.Destroy($706)
Object.Destroy($689)
Object.Destroy($690)
$687 = 0 // $ = int 

:PICKUPS_1118
if 
  $669 == 2 // $ == int 
else_jump @PICKUPS_1460 
if 
  $338 == 0 // $ == int 
else_jump @PICKUPS_1460 
if 
  $710 == 1 // $ == int 
else_jump @PICKUPS_1235 
if 
   Pickup.Picked_up($711)
else_jump @PICKUPS_1235 
PACKAGE_633() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_1228 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAYER9' 
04CF: add 50 to_money_spent_on_fashion_stats 

:PICKUPS_1228
PACKAGE_755() 

:PICKUPS_1235
if 
   Pickup.Picked_up($712)
else_jump @PICKUPS_1298 
PACKAGE_633() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_1291 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAY11' 
04CF: add 50 to_money_spent_on_fashion_stats 

:PICKUPS_1291
PACKAGE_755() 

:PICKUPS_1298
if 
  $713 == 1 // $ == int 
else_jump @PICKUPS_1379 
if 
   Pickup.Picked_up($714)
else_jump @PICKUPS_1379 
PACKAGE_633() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_1372 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAY12' 
04CF: add 120 to_money_spent_on_fashion_stats 

:PICKUPS_1372
PACKAGE_755() 

:PICKUPS_1379
if 
  $715 == 1 // $ == int 
else_jump @PICKUPS_1460 
if 
   Pickup.Picked_up($716)
else_jump @PICKUPS_1460 
PACKAGE_633() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_1453 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAYER9' 
04CF: add 50 to_money_spent_on_fashion_stats 

:PICKUPS_1453
PACKAGE_755() 

:PICKUPS_1460
if 
  $669 == 3 // $ == int 
else_jump @PICKUPS_1982 
if 
  $338 == 0 // $ == int 
else_jump @PICKUPS_1982 
if 
  $717 == 1 // $ == int 
else_jump @PICKUPS_1577 
if 
   Pickup.Picked_up($718)
else_jump @PICKUPS_1577 
PACKAGE_633() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_1570 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAYER9' 
04CF: add 50 to_money_spent_on_fashion_stats 

:PICKUPS_1570
PACKAGE_755() 

:PICKUPS_1577
if 
  $719 == 1 // $ == int 
else_jump @PICKUPS_1658 
if 
   Pickup.Picked_up($720)
else_jump @PICKUPS_1658 
PACKAGE_633() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_1651 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAYER2' 
04CF: add 100 to_money_spent_on_fashion_stats 

:PICKUPS_1651
PACKAGE_755() 

:PICKUPS_1658
if 
  $721 == 1 // $ == int 
else_jump @PICKUPS_1739 
if 
   Pickup.Picked_up($722)
else_jump @PICKUPS_1739 
PACKAGE_633() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_1732 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAYER3' 
04CF: add 80 to_money_spent_on_fashion_stats 

:PICKUPS_1732
PACKAGE_755() 

:PICKUPS_1739
if 
  $723 == 1 // $ == int 
else_jump @PICKUPS_1820 
if 
   Pickup.Picked_up($724)
else_jump @PICKUPS_1820 
PACKAGE_633() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_1813 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAYER4' 
04CF: add 40 to_money_spent_on_fashion_stats 

:PICKUPS_1813
PACKAGE_755() 

:PICKUPS_1820
if 
  $725 == 1 // $ == int 
else_jump @PICKUPS_1901 
if 
   Pickup.Picked_up($726)
else_jump @PICKUPS_1901 
PACKAGE_633() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_1894 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAYER5' 
04CF: add 70 to_money_spent_on_fashion_stats 

:PICKUPS_1894
PACKAGE_755() 

:PICKUPS_1901
if 
  $727 == 1 // $ == int 
else_jump @PICKUPS_1982 
if 
   Pickup.Picked_up($728)
else_jump @PICKUPS_1982 
PACKAGE_633() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_1975 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAYER6' 
04CF: add 90 to_money_spent_on_fashion_stats 

:PICKUPS_1975
PACKAGE_755() 

:PICKUPS_1982
if 
  $669 == 4 // $ == int 
else_jump @PICKUPS_2342 
if 
  $338 == 0 // $ == int 
else_jump @PICKUPS_2342 
if 
  $729 == 1 // $ == int 
else_jump @PICKUPS_2099 
if 
   Pickup.Picked_up($730)
else_jump @PICKUPS_2099 
PACKAGE_633() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_2092 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAYER8' 
04CF: add 120 to_money_spent_on_fashion_stats 

:PICKUPS_2092
PACKAGE_755() 

:PICKUPS_2099
if 
  $731 == 1 // $ == int 
else_jump @PICKUPS_2180 
if 
   Pickup.Picked_up($732)
else_jump @PICKUPS_2180 
PACKAGE_633() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_2173 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAYER9' 
04CF: add 30 to_money_spent_on_fashion_stats 

:PICKUPS_2173
PACKAGE_755() 

:PICKUPS_2180
if 
  $733 == 1 // $ == int 
else_jump @PICKUPS_2261 
if 
   Pickup.Picked_up($734)
else_jump @PICKUPS_2261 
PACKAGE_633() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_2254 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAY10' 
04CF: add 100 to_money_spent_on_fashion_stats 

:PICKUPS_2254
PACKAGE_755() 

:PICKUPS_2261
if 
  $735 == 1 // $ == int 
else_jump @PICKUPS_2342 
if 
   Pickup.Picked_up($736)
else_jump @PICKUPS_2342 
PACKAGE_633() 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_2335 
0352: set_actor $PLAYER_ACTOR skin_to 'PLAYER7' 
04CF: add 120 to_money_spent_on_fashion_stats 

:PICKUPS_2335
PACKAGE_755() 

:PICKUPS_2342
if 
  $669 == 5 // $ == int 
else_jump @PICKUPS_2793 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_2793 
if 
  $PASSED_ASS1_RUB_OUT == 1 // $ == int 
else_jump @PICKUPS_2793 
if 
0121:   player $PLAYER_CHAR in_zone 'STARI'  // Starfish Island
else_jump @PICKUPS_2761 
if 
  $737 == 0 // $ == int 
else_jump @PICKUPS_2754 
if 
  $206 == 1 // $ == int 
else_jump @PICKUPS_2478 
$738 = Pickup.Create(#BODYARMOUR, 15, -314.7, -551.2, 10.3)

:PICKUPS_2478
if 
  $207 == 1 // $ == int 
else_jump @PICKUPS_2521 
$739 = Pickup.Create(#CHNSAW, 15, -310.7, -551.2, 10.3)

:PICKUPS_2521
if 
  $208 == 1 // $ == int 
else_jump @PICKUPS_2566 
032B: $740 = create_weapon_pickup #PYTHON 15 ammo 24 at -306.7 -551.2 10.3 

:PICKUPS_2566
if 
  $209 == 1 // $ == int 
else_jump @PICKUPS_2611 
032B: $741 = create_weapon_pickup #FLAME 15 ammo 60 at -302.7 -551.2 10.3 

:PICKUPS_2611
if 
  $210 == 1 // $ == int 
else_jump @PICKUPS_2656 
032B: $742 = create_weapon_pickup #LASER 15 ammo 28 at -298.7 -551.2 10.3 

:PICKUPS_2656
if 
  $211 == 1 // $ == int 
else_jump @PICKUPS_2702 
032B: $743 = create_weapon_pickup #MINIGUN 15 ammo 500 at -294.7 -551.2 10.3 

:PICKUPS_2702
if 
  $212 == 1 // $ == int 
else_jump @PICKUPS_2747 
032B: $744 = create_weapon_pickup #ROCKETLA 15 ammo 8 at -290.7 -551.2 10.3 

:PICKUPS_2747
$737 = 1 // $ = int 

:PICKUPS_2754
jump @PICKUPS_2793 

:PICKUPS_2761
if 
  $737 == 1 // $ == int 
else_jump @PICKUPS_2793 
PACKAGE_596() 
$737 = 0 // $ = int 

:PICKUPS_2793
if 
  $669 == 6 // $ == int 
else_jump @PICKUPS_3244 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_3244 
if 
0121:   player $PLAYER_CHAR in_zone 'BEACH1'  // Ocean Beach
else_jump @PICKUPS_3212 
if 
  $474 == 1 // $ == int 
else_jump @PICKUPS_3205 
if 
  $745 == 0 // $ == int 
else_jump @PICKUPS_3205 
if 
  $206 == 1 // $ == int 
else_jump @PICKUPS_2929 
$738 = Pickup.Create(#BODYARMOUR, 15, 214.2, -1275.7, 19.2)

:PICKUPS_2929
if 
  $207 == 1 // $ == int 
else_jump @PICKUPS_2972 
$739 = Pickup.Create(#CHNSAW, 15, 210.2, -1274.7, 19.2)

:PICKUPS_2972
if 
  $208 == 1 // $ == int 
else_jump @PICKUPS_3017 
032B: $740 = create_weapon_pickup #PYTHON 15 ammo 24 at 206.2 -1273.7 19.2 

:PICKUPS_3017
if 
  $209 == 1 // $ == int 
else_jump @PICKUPS_3062 
032B: $741 = create_weapon_pickup #FLAME 15 ammo 60 at 224.2 -1273.1 19.2 

:PICKUPS_3062
if 
  $210 == 1 // $ == int 
else_jump @PICKUPS_3107 
032B: $742 = create_weapon_pickup #LASER 15 ammo 28 at 228.2 -1279.2 19.2 

:PICKUPS_3107
if 
  $211 == 1 // $ == int 
else_jump @PICKUPS_3153 
032B: $743 = create_weapon_pickup #MINIGUN 15 ammo 500 at 226.0 -1268.6 20.1 

:PICKUPS_3153
if 
  $212 == 1 // $ == int 
else_jump @PICKUPS_3198 
032B: $744 = create_weapon_pickup #ROCKETLA 15 ammo 8 at 231.7 -1264.4 20.1 

:PICKUPS_3198
$745 = 1 // $ = int 

:PICKUPS_3205
jump @PICKUPS_3244 

:PICKUPS_3212
if 
  $745 == 1 // $ == int 
else_jump @PICKUPS_3244 
PACKAGE_596() 
$745 = 0 // $ = int 

:PICKUPS_3244
if 
  $669 == 7 // $ == int 
else_jump @PICKUPS_3695 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_3695 
if 
0121:   player $PLAYER_CHAR in_zone 'DTOWN'  // Downtown
else_jump @PICKUPS_3663 
if 
  $746 == 1 // $ == int 
else_jump @PICKUPS_3656 
if 
  $747 == 0 // $ == int 
else_jump @PICKUPS_3656 
if 
  $206 == 1 // $ == int 
else_jump @PICKUPS_3380 
$738 = Pickup.Create(#BODYARMOUR, 15, -813.1, 1344.7, 66.4)

:PICKUPS_3380
if 
  $207 == 1 // $ == int 
else_jump @PICKUPS_3423 
$739 = Pickup.Create(#CHNSAW, 15, -817.1, 1344.7, 66.4)

:PICKUPS_3423
if 
  $208 == 1 // $ == int 
else_jump @PICKUPS_3468 
032B: $740 = create_weapon_pickup #PYTHON 15 ammo 24 at -821.1 1344.7 66.4 

:PICKUPS_3468
if 
  $209 == 1 // $ == int 
else_jump @PICKUPS_3513 
032B: $741 = create_weapon_pickup #FLAME 15 ammo 60 at -825.1 1344.7 66.4 

:PICKUPS_3513
if 
  $210 == 1 // $ == int 
else_jump @PICKUPS_3558 
032B: $742 = create_weapon_pickup #LASER 15 ammo 28 at -830.1 1344.7 66.4 

:PICKUPS_3558
if 
  $211 == 1 // $ == int 
else_jump @PICKUPS_3604 
032B: $743 = create_weapon_pickup #MINIGUN 15 ammo 500 at -833.1 1344.7 66.4 

:PICKUPS_3604
if 
  $212 == 1 // $ == int 
else_jump @PICKUPS_3649 
032B: $744 = create_weapon_pickup #ROCKETLA 15 ammo 8 at -839.0 1351.6 66.4 

:PICKUPS_3649
$747 = 1 // $ = int 

:PICKUPS_3656
jump @PICKUPS_3695 

:PICKUPS_3663
if 
  $747 == 1 // $ == int 
else_jump @PICKUPS_3695 
PACKAGE_596() 
$747 = 0 // $ = int 

:PICKUPS_3695
if 
  $669 == 8 // $ == int 
else_jump @PICKUPS_4023 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_3877 
if 
  $685 == 1 // $ == int 
else_jump @PICKUPS_3877 
if 
0121:   player $PLAYER_CHAR in_zone 'DTOWN'  // Downtown
else_jump @PICKUPS_3877 
if 
047E:   player $PLAYER_CHAR on_any_bike 
else_jump @PICKUPS_3801 
PACKAGE_913() 
jump @PICKUPS_3824 

:PICKUPS_3801
if 
044A:   player $PLAYER_CHAR on_foot 
else_jump @PICKUPS_3824 
PACKAGE_913() 

:PICKUPS_3824
if 
047E:   player $PLAYER_CHAR on_any_bike 
else_jump @PICKUPS_3854 
PACKAGE_1057() 
jump @PICKUPS_3877 

:PICKUPS_3854
if 
044A:   player $PLAYER_CHAR on_foot 
else_jump @PICKUPS_3877 
PACKAGE_1057() 

:PICKUPS_3877
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_4023 
if 
0121:   player $PLAYER_CHAR in_zone 'DTOWN'  // Downtown
else_jump @PICKUPS_4023 
if 
047E:   player $PLAYER_CHAR on_any_bike 
else_jump @PICKUPS_3947 
PACKAGE_1489() 
jump @PICKUPS_3970 

:PICKUPS_3947
if 
044A:   player $PLAYER_CHAR on_foot 
else_jump @PICKUPS_3970 
PACKAGE_1489() 

:PICKUPS_3970
if 
047E:   player $PLAYER_CHAR on_any_bike 
else_jump @PICKUPS_4000 
PACKAGE_1633() 
jump @PICKUPS_4023 

:PICKUPS_4000
if 
044A:   player $PLAYER_CHAR on_foot 
else_jump @PICKUPS_4023 
PACKAGE_1633() 

:PICKUPS_4023
if 
  $669 == 9 // $ == int 
else_jump @PICKUPS_4205 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_4205 
if 
  $746 == 1 // $ == int 
else_jump @PICKUPS_4205 
if 
0121:   player $PLAYER_CHAR in_zone 'DTOWN'  // Downtown
else_jump @PICKUPS_4205 
if 
047E:   player $PLAYER_CHAR on_any_bike 
else_jump @PICKUPS_4129 
PACKAGE_1201() 
jump @PICKUPS_4152 

:PICKUPS_4129
if 
044A:   player $PLAYER_CHAR on_foot 
else_jump @PICKUPS_4152 
PACKAGE_1201() 

:PICKUPS_4152
if 
047E:   player $PLAYER_CHAR on_any_bike 
else_jump @PICKUPS_4182 
PACKAGE_1345() 
jump @PICKUPS_4205 

:PICKUPS_4182
if 
044A:   player $PLAYER_CHAR on_foot 
else_jump @PICKUPS_4205 
PACKAGE_1345() 

:PICKUPS_4205
if 
  $669 > 9 // $ > int 
else_jump @PICKUPS_4230 
$669 = 0 // $ = int 

:PICKUPS_4230
jump @PICKUPS_18 
end_thread 
thread 'CLOTH1' 
wait 5000 
03E5: text_box 'CLOTH2'  // Street outfit delivered to Safehouses.
wait 10000 
03E5: text_box 'CLOTH1'  // Soiree outfit delivered to Rafael's on Ocean Beach.
end_thread 
thread 'CLOTH2' 
wait 5000 
03E5: text_box 'HELP25'  // You can now take jobs from Avery Carrington.
wait 10000 
03E5: text_box 'CLOTH3'  // Coveralls outfit delivered to Tooled Up in The North Point Mall.
end_thread 
thread 'CLOTH3' 
wait 5000 
03E5: text_box 'CLOTH4'  // Country Club outfit delivered to The Golf Club in Leaf Links.
end_thread 
thread 'CLOTH4' 
wait 5000 
03E5: text_box 'CLOTH5'  // Havana outfit delivered to Little Havana Streetwear in Little Havana.
end_thread 
thread 'CLOTH5' 
wait 5000 
03E5: text_box 'CLOTH6'  // Cop outfit delivered to Police Station on Washington Beach.
end_thread 
thread 'CLOTH6' 
wait 5000 
03E5: text_box 'CLOTH7'  // Casual outfit delivered to Gash in The North Point Mall.
end_thread 
thread 'CLOTH7' 
wait 20000 
03E5: text_box 'CLOTH8'  // Mr Vercetti outfit delivered to Collar & Cuffs on Ocean Beach.
end_thread 
thread 'CLOTH8' 
wait 5000 
03E5: text_box 'CLOTH9'  // Tracksuit outfit delivered to Jocksport in Downtown.
end_thread 
thread 'CLOTH9' 
wait 5000 
03E5: text_box 'CLOTH10'  // Bank Job outfit delivered to Malibu Club in Vice Point.
end_thread 
thread 'PACKAGE' 
wait 500 
03E1: $748 = packages_found 

:PACKAGE_20
if 
  10 > $748 // int > $ 
else_jump @PACKAGE_55 
wait 500 
03E1: $748 = packages_found 
jump @PACKAGE_20 

:PACKAGE_55
03E5: text_box 'PICK1'  // Body Armor delivered to Ocean View Hotel!
$206 = 1 // $ = int 

:PACKAGE_72
if 
  20 > $748 // int > $ 
else_jump @PACKAGE_107 
wait 500 
03E1: $748 = packages_found 
jump @PACKAGE_72 

:PACKAGE_107
03E5: text_box 'PICK3'  // Chainsaw delivered to Ocean View Hotel!
$207 = 1 // $ = int 

:PACKAGE_124
if 
  30 > $748 // int > $ 
else_jump @PACKAGE_159 
wait 500 
03E1: $748 = packages_found 
jump @PACKAGE_124 

:PACKAGE_159
03E5: text_box 'PICK2'  // .357 delivered to Ocean View Hotel!
$208 = 1 // $ = int 

:PACKAGE_176
if 
  40 > $748 // int > $ 
else_jump @PACKAGE_211 
wait 500 
03E1: $748 = packages_found 
jump @PACKAGE_176 

:PACKAGE_211
03E5: text_box 'PICK4'  // Flame Thrower delivered to Ocean View Hotel!
$209 = 1 // $ = int 

:PACKAGE_228
if 
  50 > $748 // int > $ 
else_jump @PACKAGE_263 
wait 500 
03E1: $748 = packages_found 
jump @PACKAGE_228 

:PACKAGE_263
03E5: text_box 'PICK5'  // .308 Sniper delivered to Ocean View Hotel!
$210 = 1 // $ = int 

:PACKAGE_280
if 
  60 > $748 // int > $ 
else_jump @PACKAGE_315 
wait 500 
03E1: $748 = packages_found 
jump @PACKAGE_280 

:PACKAGE_315
03E5: text_box 'PICK6'  // Minigun delivered to Ocean View Hotel!
$211 = 1 // $ = int 

:PACKAGE_332
if 
  70 > $748 // int > $ 
else_jump @PACKAGE_367 
wait 500 
03E1: $748 = packages_found 
jump @PACKAGE_332 

:PACKAGE_367
03E5: text_box 'PICK7'  // Rocket Launcher delivered to Ocean View Hotel!
$212 = 1 // $ = int 

:PACKAGE_384
if 
  80 > $748 // int > $ 
else_jump @PACKAGE_419 
wait 500 
03E1: $748 = packages_found 
jump @PACKAGE_384 

:PACKAGE_419
03E5: text_box 'PICK8'  // Sea Sparrow now available from the Mansion on Starfish Island!
014C: set_parked_car_generator $27 cars_to_generate_to 101 

:PACKAGE_436
if 
  90 > $748 // int > $ 
else_jump @PACKAGE_471 
wait 500 
03E1: $748 = packages_found 
jump @PACKAGE_436 

:PACKAGE_471
03E5: text_box 'PICK9'  // Tank now available from the Army Barracks!
014C: set_parked_car_generator $28 cars_to_generate_to 101 

:PACKAGE_488
if 
  100 > $748 // int > $ 
else_jump @PACKAGE_523 
wait 500 
03E1: $748 = packages_found 
jump @PACKAGE_488 

:PACKAGE_523
wait 5000 
if 
  $749 == 0 // $ == int 
else_jump @PACKAGE_577 
03E5: text_box 'PICK10'  // Hunter now available from the Army Barracks!
014C: set_parked_car_generator $29 cars_to_generate_to 101 
$749 = 1 // $ = int 
jump @PACKAGE_594 

:PACKAGE_577
03E5: text_box 'APACHE'  // Hunter delivered to helipad in Ocean Beach.
014C: set_parked_car_generator $30 cars_to_generate_to 101 

:PACKAGE_594
end_thread 

:PACKAGE_596
Pickup.Destroy($738)
Pickup.Destroy($739)
Pickup.Destroy($740)
Pickup.Destroy($741)
Pickup.Destroy($742)
Pickup.Destroy($743)
Pickup.Destroy($744)
return 

:PACKAGE_633
$338 = 1 // $ = int 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PACKAGE_702 
0169: set_fade_color 0 0 1 
fade 0 500 

:PACKAGE_671
if 
fading 
else_jump @PACKAGE_695 
wait 0 
jump @PACKAGE_671 

:PACKAGE_695
jump @PACKAGE_709 

:PACKAGE_702
$338 = 0 // $ = int 

:PACKAGE_709
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PACKAGE_746 
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 1 
Player.CanMove($PLAYER_CHAR) = False
jump @PACKAGE_753 

:PACKAGE_746
$338 = 0 // $ = int 

:PACKAGE_753
return 

:PACKAGE_755
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PACKAGE_904 
038B: load_requested_models 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PACKAGE_794 
0353: refresh_actor $PLAYER_ACTOR 

:PACKAGE_794
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
if 
   not Player.WantedLevel($PLAYER_CHAR) > 2
else_jump @PACKAGE_824 
Player.ClearWantedLevel($PLAYER_CHAR)

:PACKAGE_824
Player.CanMove($PLAYER_CHAR) = True
$338 = 0 // $ = int 
fade 1 500 
if 
  $750 == 0 // $ == int 
else_jump @PACKAGE_887 
03E5: text_box 'CLT_HL2'  // When a Clothes Pickup is collected, a one star or two star wanted level will be cleared.
$750 = 1 // $ = int 
jump @PACKAGE_897 

:PACKAGE_887
03E5: text_box 'CLOHELP'  // Clean Clothes!!

:PACKAGE_897
jump @PACKAGE_911 

:PACKAGE_904
$338 = 0 // $ = int 

:PACKAGE_911
return 

:PACKAGE_913
if 
00F5:   player $PLAYER_CHAR 0 -557.1 782.1 21.8 radius 2.5 2.5 2.5 
else_jump @PACKAGE_1055 
0169: set_fade_color 0 0 1 
fade 0 500 

:PACKAGE_976
if 
fading 
else_jump @PACKAGE_1000 
wait 0 
jump @PACKAGE_976 

:PACKAGE_1000
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PACKAGE_1048 
0055: put_player $PLAYER_CHAR at -556.1 787.8 96.5 
0171: set_player $PLAYER_CHAR z_angle_to 100.5 
03C8: set_camera_directly_before_player 

:PACKAGE_1048
fade 1 500 

:PACKAGE_1055
return 

:PACKAGE_1057
if 
00F5:   player $PLAYER_CHAR 0 -551.8 787.4 97.5 radius 2.5 2.5 2.5 
else_jump @PACKAGE_1199 
0169: set_fade_color 0 0 1 
fade 0 500 

:PACKAGE_1120
if 
fading 
else_jump @PACKAGE_1144 
wait 0 
jump @PACKAGE_1120 

:PACKAGE_1144
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PACKAGE_1192 
0055: put_player $PLAYER_CHAR at -562.1 782.0 21.8 
0171: set_player $PLAYER_CHAR z_angle_to 100.5 
03C8: set_camera_directly_before_player 

:PACKAGE_1192
fade 1 500 

:PACKAGE_1199
return 

:PACKAGE_1201
if 
00F5:   player $PLAYER_CHAR 0 -830.9 1312.4 10.5 radius 2.5 2.5 2.5 
else_jump @PACKAGE_1343 
0169: set_fade_color 0 0 1 
fade 0 500 

:PACKAGE_1264
if 
fading 
else_jump @PACKAGE_1288 
wait 0 
jump @PACKAGE_1264 

:PACKAGE_1288
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PACKAGE_1336 
0055: put_player $PLAYER_CHAR at -815.0 1353.9 65.4 
0171: set_player $PLAYER_CHAR z_angle_to 87.2 
03C8: set_camera_directly_before_player 

:PACKAGE_1336
fade 1 500 

:PACKAGE_1343
return 

:PACKAGE_1345
if 
00F5:   player $PLAYER_CHAR 0 -811.7 1354.2 66.4 radius 2.5 2.5 2.5 
else_jump @PACKAGE_1487 
0169: set_fade_color 0 0 1 
fade 0 500 

:PACKAGE_1408
if 
fading 
else_jump @PACKAGE_1432 
wait 0 
jump @PACKAGE_1408 

:PACKAGE_1432
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PACKAGE_1480 
0055: put_player $PLAYER_CHAR at -829.6 1308.8 10.5 
0171: set_player $PLAYER_CHAR z_angle_to 200.0 
03C8: set_camera_directly_before_player 

:PACKAGE_1480
fade 1 500 

:PACKAGE_1487
return 

:PACKAGE_1489
if 
00F5:   player $PLAYER_CHAR 0 -410.5 1120.9 10.1 radius 2.5 2.5 2.5 
else_jump @PACKAGE_1631 
0169: set_fade_color 0 0 1 
fade 0 500 

:PACKAGE_1552
if 
